Anomaly Detected : {'id': 0, 'data': [[3.0]], 'current_time': '2023-11-16T06:52:50.396916', 'score': [-0.743]}
Anomaly Detected : {'id': 1, 'data': [[3.919]], 'current_time': '2023-11-16T06:52:50.758303', 'score': [-0.782]}
Anomaly Detected : {'id': 2, 'data': [[-2.317]], 'current_time': '2023-11-16T06:52:50.907391', 'score': [-0.799]}
Anomaly Detected : {'id': 3, 'data': [[-2.093]], 'current_time': '2023-11-16T06:52:51.046886', 'score': [-0.799]}
Anomaly Detected : {'id': 4, 'data': [[-2.024]], 'current_time': '2023-11-16T06:52:51.186578', 'score': [-0.799]}
Anomaly Detected : {'id': 5, 'data': [[-1.599]], 'current_time': '2023-11-16T06:52:51.350740', 'score': [-0.799]}
Anomaly Detected : {'id': 6, 'data': [[-1.748]], 'current_time': '2023-11-16T06:52:51.502164', 'score': [-0.799]}
Anomaly Detected : {'id': 7, 'data': [[-1.861]], 'current_time': '2023-11-16T06:52:51.656110', 'score': [-0.799]}
Anomaly Detected : {'id': 8, 'data': [[-2.148]], 'current_time': '2023-11-16T06:52:51.818533', 'score': [-0.799]}
Anomaly Detected : {'id': 9, 'data': [[-1.414]], 'current_time': '2023-11-16T06:52:51.981421', 'score': [-0.799]}
Anomaly Detected : {'id': 11, 'data': [[-2.245]], 'current_time': '2023-11-16T06:52:52.290699', 'score': [-0.799]}
Anomaly Detected : {'id': 16, 'data': [[-2.027]], 'current_time': '2023-11-16T06:52:53.087660', 'score': [-0.799]}
Anomaly Detected : {'id': 18, 'data': [[-1.596]], 'current_time': '2023-11-16T06:52:53.426766', 'score': [-0.799]}
Anomaly Detected : {'id': 19, 'data': [[-1.614]], 'current_time': '2023-11-16T06:52:53.609542', 'score': [-0.799]}
Anomaly Detected : {'id': 20, 'data': [[-1.619]], 'current_time': '2023-11-16T06:52:53.815084', 'score': [-0.799]}
Anomaly Detected : {'id': 21, 'data': [[-1.992]], 'current_time': '2023-11-16T06:52:54.006584', 'score': [-0.799]}
Anomaly Detected : {'id': 22, 'data': [[-2.517]], 'current_time': '2023-11-16T06:52:54.199334', 'score': [-0.799]}
Anomaly Detected : {'id': 23, 'data': [[0.112]], 'current_time': '2023-11-16T06:52:54.396974', 'score': [-0.799]}
Anomaly Detected : {'id': 25, 'data': [[-2.515]], 'current_time': '2023-11-16T06:52:54.830950', 'score': [-0.799]}
Anomaly Detected : {'id': 26, 'data': [[-1.669]], 'current_time': '2023-11-16T06:52:55.083979', 'score': [-0.799]}
Anomaly Detected : {'id': 28, 'data': [[-2.469]], 'current_time': '2023-11-16T06:52:55.517718', 'score': [-0.799]}
Anomaly Detected : {'id': 30, 'data': [[-2.512]], 'current_time': '2023-11-16T06:52:55.957225', 'score': [-0.799]}
Anomaly Detected : {'id': 33, 'data': [[-2.042]], 'current_time': '2023-11-16T06:52:56.637747', 'score': [-0.799]}
Anomaly Detected : {'id': 35, 'data': [[-2.166]], 'current_time': '2023-11-16T06:52:57.098494', 'score': [-0.799]}
Anomaly Detected : {'id': 37, 'data': [[-2.174]], 'current_time': '2023-11-16T06:52:57.565901', 'score': [-0.799]}
Anomaly Detected : {'id': 39, 'data': [[-1.72]], 'current_time': '2023-11-16T06:52:58.053467', 'score': [-0.799]}
Anomaly Detected : {'id': 40, 'data': [[-2.08]], 'current_time': '2023-11-16T06:52:58.315284', 'score': [-0.799]}
Anomaly Detected : {'id': 43, 'data': [[-2.328]], 'current_time': '2023-11-16T06:52:59.066650', 'score': [-0.799]}
Anomaly Detected : {'id': 45, 'data': [[-1.66]], 'current_time': '2023-11-16T06:52:59.590734', 'score': [-0.799]}
Anomaly Detected : {'id': 46, 'data': [[0.462]], 'current_time': '2023-11-16T06:52:59.859987', 'score': [-0.799]}
Anomaly Detected : {'id': 47, 'data': [[0.202]], 'current_time': '2023-11-16T06:53:00.141951', 'score': [-0.799]}
Anomaly Detected : {'id': 48, 'data': [[-2.339]], 'current_time': '2023-11-16T06:53:00.425924', 'score': [-0.799]}
Anomaly Detected : {'id': 52, 'data': [[-2.506]], 'current_time': '2023-11-16T06:53:01.539678', 'score': [-0.799]}
Anomaly Detected : {'id': 55, 'data': [[-2.061]], 'current_time': '2023-11-16T06:53:02.375994', 'score': [-0.799]}
Anomaly Detected : {'id': 56, 'data': [[-1.868]], 'current_time': '2023-11-16T06:53:02.968813', 'score': [-0.799]}
Anomaly Detected : {'id': 57, 'data': [[-1.762]], 'current_time': '2023-11-16T06:53:03.208946', 'score': [-0.799]}
Anomaly Detected : {'id': 59, 'data': [[-2.239]], 'current_time': '2023-11-16T06:53:03.692074', 'score': [-0.799]}
