Anomaly Detected : {'id': 2, 'data': [[-2.003]], 'current_time': '2023-11-16T07:27:58.953211', 'score': [-0.799]}
Anomaly Detected : {'id': 3, 'data': [[-0.521]], 'current_time': '2023-11-16T07:27:59.114921', 'score': [-0.799]}
Anomaly Detected : {'id': 4, 'data': [[0.265]], 'current_time': '2023-11-16T07:27:59.276536', 'score': [-0.799]}
Anomaly Detected : {'id': 6, 'data': [[-2.106]], 'current_time': '2023-11-16T07:27:59.555622', 'score': [-0.799]}
Anomaly Detected : {'id': 7, 'data': [[-0.47]], 'current_time': '2023-11-16T07:27:59.702786', 'score': [-0.799]}
Anomaly Detected : {'id': 9, 'data': [[-2.457]], 'current_time': '2023-11-16T07:27:59.986293', 'score': [-0.799]}
Anomaly Detected : {'id': 10, 'data': [[-1.825]], 'current_time': '2023-11-16T07:28:00.153968', 'score': [-0.799]}
Anomaly Detected : {'id': 11, 'data': [[-1.909]], 'current_time': '2023-11-16T07:28:00.278251', 'score': [-0.799]}
Anomaly Detected : {'id': 12, 'data': [[-2.116]], 'current_time': '2023-11-16T07:28:00.412184', 'score': [-0.799]}
Anomaly Detected : {'id': 15, 'data': [[-2.357]], 'current_time': '2023-11-16T07:28:00.838534', 'score': [-0.799]}
Anomaly Detected : {'id': 20, 'data': [[3.654]], 'current_time': '2023-11-16T07:28:01.564748', 'score': [-0.782]}
Anomaly Detected : {'id': 21, 'data': [[-2.062]], 'current_time': '2023-11-16T07:28:01.725457', 'score': [-0.799]}
Anomaly Detected : {'id': 22, 'data': [[-1.735]], 'current_time': '2023-11-16T07:28:01.886649', 'score': [-0.799]}
Anomaly Detected : {'id': 26, 'data': [[-1.965]], 'current_time': '2023-11-16T07:28:02.519384', 'score': [-0.799]}
Anomaly Detected : {'id': 28, 'data': [[-1.938]], 'current_time': '2023-11-16T07:28:02.875287', 'score': [-0.799]}
Anomaly Detected : {'id': 29, 'data': [[0.655]], 'current_time': '2023-11-16T07:28:03.054850', 'score': [-0.799]}
Anomaly Detected : {'id': 30, 'data': [[-2.229]], 'current_time': '2023-11-16T07:28:03.275426', 'score': [-0.799]}
Anomaly Detected : {'id': 32, 'data': [[-2.006]], 'current_time': '2023-11-16T07:28:04.278780', 'score': [-0.799]}
Anomaly Detected : {'id': 33, 'data': [[-0.22]], 'current_time': '2023-11-16T07:28:04.476539', 'score': [-0.799]}
Anomaly Detected : {'id': 34, 'data': [[-2.871]], 'current_time': '2023-11-16T07:28:04.681610', 'score': [-0.799]}
Anomaly Detected : {'id': 35, 'data': [[-1.938]], 'current_time': '2023-11-16T07:28:04.897331', 'score': [-0.799]}
Anomaly Detected : {'id': 36, 'data': [[-1.518]], 'current_time': '2023-11-16T07:28:05.154364', 'score': [-0.799]}
Anomaly Detected : {'id': 38, 'data': [[-2.714]], 'current_time': '2023-11-16T07:28:05.603461', 'score': [-0.799]}
Anomaly Detected : {'id': 39, 'data': [[1.19]], 'current_time': '2023-11-16T07:28:05.840557', 'score': [-0.756]}
Anomaly Detected : {'id': 41, 'data': [[-2.138]], 'current_time': '2023-11-16T07:28:06.328033', 'score': [-0.799]}
Anomaly Detected : {'id': 43, 'data': [[-2.076]], 'current_time': '2023-11-16T07:28:06.839552', 'score': [-0.799]}
Anomaly Detected : {'id': 44, 'data': [[-1.678]], 'current_time': '2023-11-16T07:28:07.093093', 'score': [-0.799]}
Anomaly Detected : {'id': 45, 'data': [[-1.59]], 'current_time': '2023-11-16T07:28:07.348202', 'score': [-0.799]}
Anomaly Detected : {'id': 49, 'data': [[-3.385]], 'current_time': '2023-11-16T07:28:08.362740', 'score': [-0.799]}
Anomaly Detected : {'id': 51, 'data': [[-1.707]], 'current_time': '2023-11-16T07:28:08.984613', 'score': [-0.799]}
Anomaly Detected : {'id': 52, 'data': [[-2.249]], 'current_time': '2023-11-16T07:28:09.404622', 'score': [-0.799]}
Anomaly Detected : {'id': 55, 'data': [[-2.023]], 'current_time': '2023-11-16T07:28:10.370838', 'score': [-0.799]}
Anomaly Detected : {'id': 58, 'data': [[-2.301]], 'current_time': '2023-11-16T07:28:11.396529', 'score': [-0.799]}
